accession_in_sys	type	subtype	species	sys_id	sys_beg	sys_end	duplicate_count	rank	defense_system_protein_id	defense_system_cluster_id	cluster_id	protein_id	evalue	cluFlag	fident	alnlen	mismatch	gapopen	qstart	qend	tstart	tend	evalue_foldseek	bits	Reviewed	Entry Name	Protein names	Gene Names	Organism	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)	Proteomes	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs	CDD	FunFam	Gene3D	InterPro	PANTHER	Pfam	PROSITE	SMART	RefSeq	Query_range	Query_length	Human_prot_total_length	Human_prot_domain_match	Human_domain_percentage	Query_percentage	Query_overlap_w_Human_protein	Human_domain_note	Human_domain_evidence	Target_range	Target_length	Bacterial_prot_total_length	Bacterial_prot_domain_match	Bacterial_domain_percentage	Target_percentage	Target_overlap_w_Bacterial_protein	Bacterial_domain_note	Bacterial_domain_evidence	Bacterial_Human_Len_Ratio	Query_Target_Overlap_Length	Overlap_ratio
WP_192185857.1	GasderMIN	GasderMIN	Flavobacterium sp. MDT1-60	GCF_014844035_NZ_CP062159_GasderMIN_3	GCF_014844035.1_NZ_CP062159_04412	GCF_014844035.1_NZ_CP062159_04412	1	202	A0A7L8UDG4	A0A371D7X5	H2YAV0	Q8N5U0	0.008774	1	0.063	227	184	0	21	217	3	229	0.0000428	88	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	21.0..217.0	197	333							3.0..229.0	227	233							0.6996997	197	0.845493562
WP_012023900.1	GasderMIN	GasderMIN	Flavobacterium johnsoniae	GCF_000016645_NC_009441_GasderMIN_4	GCF_000016645.1_NC_009441_01887	GCF_000016645.1_NC_009441_01887	1	202	A5FIW4	A0A371D7X5	H2YAV0	Q8N5U0	0.008774	1	0.083	226	178	0	23	217	4	229	0.00007441	93	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	23.0..217.0	195	333							4.0..229.0	226	233							0.6996997	195	0.836909871
WP_013334731.1	GasderMIN	GasderMIN	Gloeothece verrucosa	GCF_000147335_NC_014533_GasderMIN_1	GCF_000147335.1_NC_014533_00558	GCF_000147335.1_NC_014533_00558	1	202	E0UM01	A0A1W9T3G5	A0A6I4AZW5	E6Y8C6	0.01552	1	0.096	216	174	0	23	238	2	195	0.4617	9	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		23.0..238.0	216	555	27..375	60.74	98.15	38.92	['MACPF']	['ECO:0000259|PROSITE:PS51412']	2.0..195.0	194	318							0.572972973	194	0.610062893
WP_013334731.1	GasderMIN	GasderMIN	Gloeothece verrucosa	GCF_000147335_NC_014533_GasderMIN_1	GCF_000147335.1_NC_014533_00558	GCF_000147335.1_NC_014533_00558	1	202	E0UM01	A0A1W9T3G5	A0A6I4AZW5	P14222	0.01552	1	0.094	218	165	0	21	238	13	195	0.3671	9	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	21.0..238.0	218	555	27..375	60.74	97.25	39.28	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	13.0..195.0	183	318							0.572972973	183	0.575471698
WP_014444130.1	GasderMIN	GasderMIN	Actinoplanes missouriensis	GCF_000284295_NC_017093_GasderMIN_1	GCF_000284295.1_NC_017093_04052	GCF_000284295.1_NC_017093_04052	1	202	I0H899	A0A2N2MYY3	H2YAV0	Q8N5U0	0.05634	1	0.131	236	169	0	47	241	28	263	2.286E-08	161	reviewed	CK042_HUMAN	Uncharacterized protein C11orf42	C11orf42	Homo sapiens (Human)			C11orf42		UP000005640: Chromosome 11		sperm flagellum [GO:0036126]	sperm flagellum [GO:0036126]		GO:0036126				IPR031366; DUF4663.;	"PTHR36872; GENE 5901-RELATED; 1.;""PTHR36872:SF1; GENE 5901-RELATED; 1."";"	PF15668; DUF4663; 1.;			NP_775796.2; NM_173525.3.;	47.0..241.0	195	333							28.0..263.0	236	264							0.792792793	195	0.738636364
WP_066313922.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_2	GCF_003443715.1_NZ_CP031965_04827	GCF_003443715.1_NZ_CP031965_04827	1	202	A0A162CPX3	A0A371D7X5	A0A6I4AZW5	E6Y8C6	0.09995	1	0.086	153	116	0	85	237	37	164	0.01043	24	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		85.0..237.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000259|PROSITE:PS51412']	37.0..164.0	128	234							0.421621622	128	0.547008547
WP_066313922.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_2	GCF_003443715.1_NZ_CP031965_04827	GCF_003443715.1_NZ_CP031965_04827	1	202	A0A162CPX3	A0A371D7X5	A0A6I4AZW5	P14222	0.09995	1	0.083	153	116	0	85	237	37	164	0.03676	21	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	85.0..237.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	37.0..164.0	128	234							0.421621622	128	0.547008547
WP_066313922.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_2	GCF_003443715.1_NZ_CP031965_04827	GCF_003443715.1_NZ_CP031965_04827	1	202	A0A3A9VJ42	A0A371D7X5	A0A6I4AZW5	E6Y8C6	0.09995	1	0.088	153	116	0	85	237	37	164	0.05888	17	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		85.0..237.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000259|PROSITE:PS51412']	37.0..164.0	128	234							0.421621622	128	0.547008547
WP_066313922.1	GasderMIN	GasderMIN	Aquimarina sp. AD10	GCF_003443715_NZ_CP031965_GasderMIN_2	GCF_003443715.1_NZ_CP031965_04827	GCF_003443715.1_NZ_CP031965_04827	1	202	A0A3A9VJ42	A0A371D7X5	A0A6I4AZW5	P14222	0.09995	1	0.082	153	117	0	85	237	37	164	0.169	16	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	85.0..237.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	37.0..164.0	128	234							0.421621622	128	0.547008547
WP_122933413.1	GasderMIN	GasderMIN	Runella sp. SP2	GCF_003711225_NZ_CP031030_GasderMIN_1	GCF_003711225.1_NZ_CP031030_05070	GCF_003711225.1_NZ_CP031030_05070	1	202	A0A3G3GXX0	A0A371D7X5	A0A6I4AZW5	E6Y8C6	0.09995	1	0.07	154	119	0	85	238	37	165	0.1177	10	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		85.0..238.0	154	555	27..375	44.13	100.00	27.75	['MACPF']	['ECO:0000259|PROSITE:PS51412']	37.0..165.0	129	234							0.421621622	129	0.551282051
WP_122933413.1	GasderMIN	GasderMIN	Runella sp. SP2	GCF_003711225_NZ_CP031030_GasderMIN_1	GCF_003711225.1_NZ_CP031030_05070	GCF_003711225.1_NZ_CP031030_05070	1	202	A0A3G3GXX0	A0A371D7X5	A0A6I4AZW5	P14222	0.09995	1	0.097	154	116	0	85	238	37	165	0.3521	6	reviewed	PERF_HUMAN	Perforin-1 (P1) (Cytolysin) (Lymphocyte pore-forming protein) (PFP)	PRF1 PFP	Homo sapiens (Human)			PRF1	PFP	UP000005640: Chromosome 10	apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]	cytolytic granule [GO:0044194]; cytolytic granule lumen [GO:1904856]; cytosol [GO:0005829]; endosome lumen [GO:0031904]; extracellular region [GO:0005576]; immunological synapse [GO:0001772]; membrane [GO:0016020]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]; apoptotic process [GO:0006915]; cellular defense response [GO:0006968]; defense response to tumor cell [GO:0002357]; defense response to virus [GO:0051607]; granzyme-mediated programmed cell death signaling pathway [GO:0140507]; immune response to tumor cell [GO:0002418]; immunological synapse formation [GO:0001771]; killing of cells of another organism [GO:0031640]; positive regulation of killing of cells of another organism [GO:0051712]; protein homooligomerization [GO:0051260]; protein import [GO:0017038]; protein secretion [GO:0009306]; protein transmembrane transport [GO:0071806]; T cell mediated cytotoxicity [GO:0001913]	calcium ion binding [GO:0005509]; identical protein binding [GO:0042802]; pore-forming activity [GO:0140911]; wide pore channel activity [GO:0022829]	GO:0001771; GO:0001772; GO:0001913; GO:0002357; GO:0002418; GO:0005509; GO:0005576; GO:0005829; GO:0005886; GO:0006915; GO:0006968; GO:0009306; GO:0016020; GO:0017038; GO:0022829; GO:0031640; GO:0031904; GO:0042802; GO:0044194; GO:0051260; GO:0051607; GO:0051712; GO:0071806; GO:0140507; GO:0140911; GO:1904856	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"	"NP_001076585.1; NM_001083116.3.;""NP_005032.2; NM_005041.4."";"	85.0..238.0	154	555	27..375	44.13	100.00	27.75	['MACPF']	['ECO:0000255|PROSITE-ProRule:PRU00745']	37.0..165.0	129	234							0.421621622	129	0.551282051
WP_147583402.1	GasderMIN	GasderMIN	Flavobacterium alkalisoli	GCF_008000935_NZ_CP042831_GasderMIN_2	GCF_008000935.1_NZ_CP042831_02015	GCF_008000935.1_NZ_CP042831_02015	1	202	A0A5B9FUL3	A0A371D7X5	A0A6I4AZW5	E6Y8C6	0.09995	1	0.073	153	118	0	85	237	36	163	0.02622	16	unreviewed	E6Y8C6_HUMAN	Perforin-1 (Cytolysin) (Lymphocyte pore-forming protein)	PRF1	Homo sapiens (Human)			PRF1			killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	extracellular region [GO:0005576]; membrane [GO:0016020]	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]; killing of cells of another organism [GO:0031640]; leukocyte mediated cytotoxicity [GO:0001909]	calcium ion binding [GO:0005509]; pore-forming activity [GO:0140911]	GO:0001909; GO:0005509; GO:0005576; GO:0016020; GO:0031640; GO:0140911	cd04032; C2_Perforin; 1.;	2.60.40.150:FF:000216; Perforin-1 precursor; 1.;	2.60.40.150; C2 domain; 1.;	"IPR000008; C2_dom.;""IPR035892; C2_domain_sf."";""IPR020864; MACPF."";""IPR020863; MACPF_CS."";""IPR037300; Perforin-1_C2."";""IPR052784; Perforin-1_pore-forming."";"	"PTHR46096; PERFORIN-1; 1.;""PTHR46096:SF3; PERFORIN-1; 1."";"	"PF00168; C2; 1.;""PF01823; MACPF; 1."";"	"PS50004; C2; 1.;""PS00279; MACPF_1; 1."";""PS51412; MACPF_2; 1."";"	"SM00239; C2; 1.;""SM00457; MACPF; 1."";"		85.0..237.0	153	555	27..375	43.84	100.00	27.57	['MACPF']	['ECO:0000259|PROSITE:PS51412']	36.0..163.0	128	233							0.41981982	128	0.549356223
